tract,filing_year,eviction_filings_total,eviction_filings_rate,census_year,housing_units_rental,median_rent,population_total,population_poverty_below,poverty_rate,pct_black,pct_latinx,minority_share,median_household_income
17031843900,2019,128,7.73,2014-2018 5-year estimates,1614,1027,3521,1000,0.28401022436807727,0.8744674808293098,0.03095711445612042,0.9548423743254757,33028.0
17031843800,2019,12,3.29,2014-2018 5-year estimates,368,1144,1482,341,0.2300944669365722,0.5661268556005398,0.12348178137651822,0.7611336032388664,36042.0
17031843700,2019,2,0.58,2014-2018 5-year estimates,352,1331,2617,97,0.037065341994650364,0.02330913259457394,0.2709209017959496,0.4222392051967902,114886.0
17031843600,2019,50,4.38,2014-2018 5-year estimates,1123,1093,2918,657,0.22515421521590132,0.888279643591501,0.04455106237148732,0.9749828649760109,39167.0
17031843500,2019,3,1.5,2014-2018 5-year estimates,194,794,10317,3539,0.34302607347097025,0.6559077251138897,0.25365900940195796,0.9125714839585151,29375.0
17031843400,2019,16,4.87,2014-2018 5-year estimates,329,639,1195,372,0.3112970711297071,0.7146443514644352,0.25271966527196654,0.9673640167364017,29028.0
17031843300,2019,14,3.78,2014-2018 5-year estimates,364,973,1972,883,0.4477687626774848,0.6069979716024341,0.2936105476673428,0.9082150101419878,50486.0
17031843200,2019,2,0.3,2014-2018 5-year estimates,661,881,2357,575,0.24395417904115402,0.03224437844717862,0.7059821807382266,0.7539244802715316,49451.0
17031843100,2019,22,5.05,2014-2018 5-year estimates,447,916,1692,816,0.48226950354609927,0.8481087470449172,0.03486997635933806,0.9013002364066194,22566.0
17031843000,2019,68,7.47,2014-2018 5-year estimates,909,888,2533,1077,0.42518752467429927,0.9581523884721674,0.027240426371891037,1.0,19792.0
17031842900,2019,14,1.37,2014-2018 5-year estimates,1023,561,2479,1081,0.43606292860024204,0.7611940298507462,0.06212182331585317,0.8963291649858814,20068.0
17031842800,2019,18,1.49,2014-2018 5-year estimates,1213,928,7035,2779,0.39502487562189054,0.011940298507462687,0.8986496090973702,0.9678749111584932,36439.0
17031842600,2019,20,2.89,2014-2018 5-year estimates,690,974,4125,487,0.11806060606060606,0.049212121212121214,0.3216969696969697,0.4763636363636364,76616.0
17031842500,2019,50,6.7,2014-2018 5-year estimates,752,392,1973,1251,0.6340598073998986,0.9984794728839331,0.0005068423720223011,0.9989863152559554,11146.0
17031842400,2019,22,4.92,2014-2018 5-year estimates,470,1031,3115,854,0.27415730337078653,0.9666131621187801,0.003531300160513644,0.9945425361155699,47669.0
17031842300,2019,12,1.76,2014-2018 5-year estimates,679,1743,3358,188,0.05598570577724836,0.10512209648600357,0.09857057772483621,0.30524121500893386,142550.0
17031842200,2019,10,0.69,2014-2018 5-year estimates,1374,1996,3154,284,0.09004438807863031,0.12016487000634116,0.11667723525681674,0.3183259353202283,86250.0
17031842100,2019,27,2.49,2014-2018 5-year estimates,1092,941,7489,2037,0.271998931766591,0.4310321805314461,0.5144879156095606,0.9619441848043797,38603.0
17031842000,2019,4,5.05,2014-2018 5-year estimates,92,2114,3134,652,0.20804084237396298,0.301531589023612,0.08232291001914487,0.6222080408423739,99583.0
17031841900,2019,16,2.18,2014-2018 5-year estimates,709,1956,6540,1190,0.1819571865443425,0.1730886850152905,0.11238532110091744,0.5146788990825688,114350.0
17031841800,2019,48,8.13,2014-2018 5-year estimates,588,898,2435,643,0.26406570841889115,0.9531827515400411,0.027104722792607804,0.9938398357289527,37176.0
17031841700,2019,13,2.13,2014-2018 5-year estimates,606,682,1825,719,0.393972602739726,0.4389041095890411,0.4778082191780822,0.949041095890411,18810.0
17031841600,2019,5,2.49,2014-2018 5-year estimates,202,1222,655,343,0.5236641221374045,0.8610687022900764,0.13282442748091602,0.9938931297709923,24848.0
17031841500,2019,40,4.85,2014-2018 5-year estimates,810,1030,2847,1022,0.358974358974359,0.9469617140850017,0.0273972602739726,0.9891113452757289,31944.0
