"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1400000US17031010100","Census Tract 101, Cook County, Illinois","32474","13810",
"1400000US17031010201","Census Tract 102.01, Cook County, Illinois","45639","21136",
"1400000US17031010202","Census Tract 102.02, Cook County, Illinois","41486","8998",
"1400000US17031010300","Census Tract 103, Cook County, Illinois","41250","6711",
"1400000US17031010400","Census Tract 104, Cook County, Illinois","39700","7145",
"1400000US17031010501","Census Tract 105.01, Cook County, Illinois","39730","7131",
"1400000US17031010502","Census Tract 105.02, Cook County, Illinois","39388","5634",
"1400000US17031010503","Census Tract 105.03, Cook County, Illinois","18516","3592",
"1400000US17031010600","Census Tract 106, Cook County, Illinois","50882","6004",
"1400000US17031010701","Census Tract 107.01, Cook County, Illinois","60167","12681",
"1400000US17031010702","Census Tract 107.02, Cook County, Illinois","44583","5945",
"1400000US17031020100","Census Tract 201, Cook County, Illinois","48841","8884",
"1400000US17031020200","Census Tract 202, Cook County, Illinois","94115","19158",
"1400000US17031020301","Census Tract 203.01, Cook County, Illinois","56973","8797",
"1400000US17031020302","Census Tract 203.02, Cook County, Illinois","77500","26100",
"1400000US17031020400","Census Tract 204, Cook County, Illinois","65917","15823",
"1400000US17031020500","Census Tract 205, Cook County, Illinois","44926","5345",
"1400000US17031020601","Census Tract 206.01, Cook County, Illinois","38177","12746",
"1400000US17031020602","Census Tract 206.02, Cook County, Illinois","57045","14632",
"1400000US17031020701","Census Tract 207.01, Cook County, Illinois","97250","19108",
"1400000US17031020702","Census Tract 207.02, Cook County, Illinois","49167","8028",
"1400000US17031020801","Census Tract 208.01, Cook County, Illinois","54052","6992",
"1400000US17031020802","Census Tract 208.02, Cook County, Illinois","46219","8238",
"1400000US17031020901","Census Tract 209.01, Cook County, Illinois","52254","7451",
"1400000US17031020902","Census Tract 209.02, Cook County, Illinois","39484","5717",
"1400000US17031030101","Census Tract 301.01, Cook County, Illinois","48207","7771",
"1400000US17031030102","Census Tract 301.02, Cook County, Illinois","42123","6033",
"1400000US17031030103","Census Tract 301.03, Cook County, Illinois","57985","6298",
"1400000US17031030104","Census Tract 301.04, Cook County, Illinois","35988","8468",
"1400000US17031030200","Census Tract 302, Cook County, Illinois","74434","8771",
"1400000US17031030300","Census Tract 303, Cook County, Illinois","41109","4151",
"1400000US17031030400","Census Tract 304, Cook County, Illinois","57500","16470",
"1400000US17031030500","Census Tract 305, Cook County, Illinois","90955","15095",
"1400000US17031030601","Census Tract 306.01, Cook County, Illinois","34861","8751",
"1400000US17031030603","Census Tract 306.03, Cook County, Illinois","42059","4596",
"1400000US17031030604","Census Tract 306.04, Cook County, Illinois","47500","11558",
