census_year,tract,housing_units_total,housing_units_rental,housing_units_other,median_rent,population_total,population_poverty_below,population_poverty_above,population_race_white,population_race_black,population_race_latinx,population_race_asian,population_race_other
2006-2010 5-year estimates,17031980100,0,0,0,0,0,0,0,0,0,0,0,0
2014-2018 5-year estimates,17031980100,0,0,0,0,0,0,0,0,0,0,0,0
2006-2010 5-year estimates,17031980000,0,0,0,0,0,0,0,0,0,0,0,0
2014-2018 5-year estimates,17031980000,0,0,0,0,0,0,0,0,0,0,0,0
2006-2010 5-year estimates,17031843900,2298,1274,1024,828,3360,511,2849,85,3007,137,57,74
2014-2018 5-year estimates,17031843900,2329,1614,715,1027,3521,1000,2521,159,3079,109,101,73
2006-2010 5-year estimates,17031843800,833,397,436,1075,2107,512,1595,571,1234,147,136,19
2014-2018 5-year estimates,17031843800,839,368,471,1144,1482,341,1141,354,839,183,100,6
2006-2010 5-year estimates,17031843700,978,389,589,1070,1979,202,1777,1352,90,376,81,80
2014-2018 5-year estimates,17031843700,1016,352,664,1331,2617,97,2520,1512,61,709,190,145
2006-2010 5-year estimates,17031843600,1507,968,539,917,2970,751,2219,59,2874,0,0,37
2014-2018 5-year estimates,17031843600,1554,1123,431,1093,2918,657,2261,73,2592,130,26,97
2006-2010 5-year estimates,17031843500,332,144,188,595,12219,5731,6488,1357,8379,2448,28,7
2014-2018 5-year estimates,17031843500,329,194,135,794,10317,3539,6778,902,6767,2617,31,0
2006-2010 5-year estimates,17031843400,643,332,311,905,1536,441,1095,0,1370,166,0,0
2014-2018 5-year estimates,17031843400,621,329,292,639,1195,372,823,39,854,302,0,0
2006-2010 5-year estimates,17031843300,517,314,203,984,1439,635,804,122,797,520,0,0
2014-2018 5-year estimates,17031843300,539,364,175,973,1972,883,1089,181,1197,579,12,3
2006-2010 5-year estimates,17031843200,1058,673,385,862,2780,614,2166,382,102,2234,62,0
2014-2018 5-year estimates,17031843200,1051,661,390,881,2357,575,1782,580,76,1664,24,13
2006-2010 5-year estimates,17031843100,791,539,252,870,2466,602,1864,103,2287,57,9,10
2014-2018 5-year estimates,17031843100,715,447,268,916,1692,816,876,167,1435,59,0,31
2006-2010 5-year estimates,17031843000,1215,896,319,898,2998,1499,1499,0,2986,12,0,0
2014-2018 5-year estimates,17031843000,1227,909,318,888,2533,1077,1456,0,2427,69,0,37
2006-2010 5-year estimates,17031842900,1283,1014,269,397,2477,1486,991,110,2235,96,28,8
2014-2018 5-year estimates,17031842900,1215,1023,192,561,2479,1081,1398,257,1887,154,87,94
2006-2010 5-year estimates,17031842800,2197,1249,948,803,7542,2217,5325,767,0,6730,23,22
2014-2018 5-year estimates,17031842800,2347,1213,1134,928,7035,2779,4256,226,84,6322,336,67
2006-2010 5-year estimates,17031842600,1660,665,995,883,4365,952,3413,2759,10,1038,449,109
2014-2018 5-year estimates,17031842600,1670,690,980,974,4125,487,3638,2160,203,1327,355,80
2006-2010 5-year estimates,17031842500,985,796,189,407,2603,1567,1036,0,2505,49,0,49
2014-2018 5-year estimates,17031842500,922,752,170,392,1973,1251,722,2,1970,1,0,0
2006-2010 5-year estimates,17031842400,1521,651,870,784,3766,1062,2704,8,3721,15,22,0
2014-2018 5-year estimates,17031842400,1475,470,1005,1031,3115,854,2261,17,3011,11,76,0
2006-2010 5-year estimates,17031842300,1633,658,975,1077,2850,185,2665,1773,708,83,240,46
2014-2018 5-year estimates,17031842300,1636,679,957,1743,3358,188,3170,2333,353,331,193,148
2006-2010 5-year estimates,17031842200,1472,826,646,772,2662,985,1677,798,1546,102,105,111
2014-2018 5-year estimates,17031842200,2076,1374,702,1996,3154,284,2870,2150,379,368,199,58
2006-2010 5-year estimates,17031842100,2334,1146,1188,893,5824,2248,3576,143,3412,2184,51,34
2014-2018 5-year estimates,17031842100,2313,1092,1221,941,7489,2037,5452,285,3228,3853,63,60
2006-2010 5-year estimates,17031842000,583,195,388,890,3438,1055,2383,1348,1442,79,553,16
2014-2018 5-year estimates,17031842000,398,92,306,2114,3134,652,2482,1184,945,258,673,74
2006-2010 5-year estimates,17031841900,1740,501,1239,1624,5077,1371,3706,2050,1637,397,747,246
2014-2018 5-year estimates,17031841900,1736,709,1027,1956,6540,1190,5350,3174,1132,735,1295,204
2006-2010 5-year estimates,17031841800,1230,568,662,933,3186,1456,1730,56,2961,63,0,106
2014-2018 5-year estimates,17031841800,1193,588,605,898,2435,643,1792,15,2321,66,0,33
2006-2010 5-year estimates,17031841700,799,572,227,322,1154,372,782,9,692,436,0,17
2014-2018 5-year estimates,17031841700,896,606,290,682,1825,719,1106,93,801,872,0,59
2006-2010 5-year estimates,17031841600,380,210,170,1141,1051,507,544,33,1018,0,0,0
2014-2018 5-year estimates,17031841600,365,202,163,1222,655,343,312,4,564,87,0,0
2006-2010 5-year estimates,17031841500,1221,698,523,839,2342,1009,1333,0,2326,0,0,16
2014-2018 5-year estimates,17031841500,1208,810,398,1030,2847,1022,1825,31,2696,78,21,21
2006-2010 5-year estimates,17031841400,618,406,212,913,1326,732,594,71,1206,49,0,0
2014-2018 5-year estimates,17031841400,554,272,282,1145,1135,361,774,28,950,155,2,0
2006-2010 5-year estimates,17031841300,1929,1087,842,734,5097,1315,3782,639,70,4300,0,88
2014-2018 5-year estimates,17031841300,1703,905,798,906,3960,836,3124,702,212,2918,61,67
2006-2010 5-year estimates,17031841200,1969,1175,794,687,4946,1568,3378,522,86,4284,0,54
2014-2018 5-year estimates,17031841200,1940,1347,593,924,4839,924,3915,802,276,3605,144,12
2006-2010 5-year estimates,17031841100,2779,1395,1384,644,6970,2070,4900,705,247,37,5926,55
2014-2018 5-year estimates,17031841100,2910,1547,1363,800,7072,2206,4866,348,260,179,6269,16
