census_tract,place,partial,blocks,housing,housing_percent,pop,pop_percent
17031010100,Chicago,0,31,2624,1,4854,1
17031010201,Chicago,0,67,2941,1,6450,1
17031010202,Chicago,0,25,1218,1,2818,1
17031010300,Chicago,0,49,3254,1,6236,1
17031010400,Chicago,0,31,2311,1,5042,1
17031010501,Chicago,0,24,2601,1,4091,1
17031010502,Chicago,0,24,1978,1,3101,1
17031010503,Chicago,0,30,1364,1,2290,1
17031010600,Chicago,0,60,3227,1,6097,1
17031010701,Chicago,0,37,1650,1,3864,1
17031010702,Chicago,0,39,2177,1,5143,1
17031020100,Chicago,0,35,1665,1,3965,1
17031020200,Chicago,0,124,2165,1,6676,1
17031020301,Chicago,0,49,2207,1,4750,1
17031020302,Chicago,0,65,1846,1,4650,1
17031020400,Chicago,0,54,1831,1,4168,1
17031020500,Chicago,0,49,2388,1,6214,1
17031020601,Chicago,0,71,2147,1,6353,1
17031020602,Chicago,0,56,1501,1,4340,1
17031020701,Chicago,0,54,736,1,1704,1
17031020702,Chicago,0,79,2510,1,7194,1
17031020801,Chicago,0,80,2244,1,5458,1
17031020802,Chicago,0,78,2402,1,6963,1
17031020901,Chicago,0,44,2113,1,5221,1
17031020902,Chicago,0,41,1711,1,4286,1
17031030101,Chicago,0,10,2569,1,3893,1
17031030102,Chicago,0,11,2107,1,3204,1
17031030103,Chicago,0,11,1253,1,1928,1
17031030104,Chicago,0,12,1357,1,3681,1
17031030200,Chicago,0,73,2726,1,5369,1
17031030300,Chicago,0,40,1521,1,3322,1
17031030400,Chicago,0,42,1367,1,2684,1
17031030500,Chicago,0,70,3245,1,6395,1
17031030601,Chicago,0,12,2377,1,4012,1
17031030603,Chicago,0,10,1556,1,2095,1
17031030604,Chicago,0,11,2217,1,2976,1
17031030701,Chicago,0,6,967,1,1549,1
17031030702,Chicago,0,3,1156,1,1630,1
17031030703,Chicago,0,17,1961,1,2830,1
17031030706,Chicago,0,17,2694,1,3599,1
17031030800,Chicago,0,62,2244,1,4326,1
17031030900,Chicago,0,68,1572,1,3028,1
17031031000,Chicago,0,44,2133,1,3656,1
17031031100,Chicago,0,26,2502,1,4402,1
17031031200,Chicago,0,28,3034,1,5648,1
17031031300,Chicago,0,30,4285,1,7076,1
17031031400,Chicago,0,36,3513,1,5150,1
17031031501,Chicago,0,18,1986,1,4083,1
17031031502,Chicago,0,18,2459,1,4354,1
17031031700,Chicago,0,38,3908,1,6570,1
17031031800,Chicago,0,17,1016,1,1820,1
17031031900,Chicago,0,21,1319,1,2304,1
17031032100,Chicago,0,25,4539,1,7052,1
17031040100,Chicago,0,78,1913,1,3985,1
17031040201,Chicago,0,84,3097,1,6218,1
17031040202,Chicago,0,77,3207,1,7249,1
17031040300,Chicago,0,52,1170,1,3069,1
17031040401,Chicago,0,56,1470,1,3092,1
17031040402,Chicago,0,45,2578,1,4468,1
17031040600,Chicago,0,52,1350,1,2434,1
17031040700,Chicago,0,43,1692,1,3123,1
17031040800,Chicago,0,26,819,1,1514,1
17031040900,Chicago,0,32,1140,1,1950,1
17031050100,Chicago,0,40,1222,1,2290,1
17031050200,Chicago,0,88,2468,1,4837,1
17031050300,Chicago,0,38,1152,1,2365,1
17031050500,Chicago,0,83,2326,1,4754,1
17031050600,Chicago,0,51,1157,1,2071,1
17031050700,Chicago,0,21,714,1,1418,1
17031050800,Chicago,0,25,609,1,1289,1
17031050900,Chicago,0,25,724,1,1391,1
17031051000,Chicago,0,30,779,1,1503,1
17031051100,Chicago,0,26,743,1,1556,1
17031051200,Chicago,0,25,711,1,1516,1
17031051300,Chicago,0,40,1187,1,2683,1
17031051400,Chicago,0,34,1406,1,2077,1
17031060100,Chicago,0,33,1346,1,2569,1
17031060200,Chicago,0,24,1175,1,2111,1
17031060300,Chicago,0,51,1408,1,2839,1
17031060400,Chicago,0,46,1675,1,3370,1
17031060500,Chicago,0,11,799,1,1309,1
17031060800,Chicago,0,13,3589,1,4837,1
17031060900,Chicago,0,25,5219,1,6867,1
17031061000,Chicago,0,15,948,1,1647,1
17031061100,Chicago,0,19,753,1,1379,1
17031061200,Chicago,0,21,960,1,1889,1
17031061500,Chicago,0,20,925,1,1707,1
17031061800,Chicago,0,3,754,1,1112,1
17031061901,Chicago,0,17,2484,1,3433,1
17031061902,Chicago,0,26,3361,1,4240,1
17031062000,Chicago,0,14,1665,1,2569,1
17031062100,Chicago,0,29,2105,1,3436,1
17031062200,Chicago,0,36,1548,1,2870,1
17031062300,Chicago,0,27,756,1,1513,1
17031062400,Chicago,0,21,805,1,1421,1
17031062500,Chicago,0,19,872,1,1497,1
17031062600,Chicago,0,29,1021,1,2226,1
17031062700,Chicago,0,44,1361,1,2724,1
17031062800,Chicago,0,44,1719,1,3506,1
17031062900,Chicago,0,51,2117,1,3976,1
17031063000,Chicago,0,36,1913,1,2973,1
17031063100,Chicago,0,12,1453,1,2173,1
17031063200,Chicago,0,32,4601,1,6345,1
17031063301,Chicago,0,9,1986,1,2641,1
17031063302,Chicago,0,12,3191,1,3996,1
17031063303,Chicago,0,9,1095,1,1201,1
17031063400,Chicago,0,12,1357,1,2180,1
