filing_year,tract,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2010,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17031980100,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17031980000,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,17031843900,154,12.09,2,2,150,14,136,2372.85,14,16,59,30,31,8,142,134,16,11,5,75,75,71,63,4,12,2,9,2,3,48,18,84,47,18,69,1,0,15,23,127,23,111,0,16
2011,17031843900,136,10.33,3,2,131,22,109,2931.53,22,11,35,33,30,9,122,118,13,13,0,76,55,69,49,7,6,7,6,0,0,36,6,89,36,6,76,0,0,13,26,105,24,94,2,11
2012,17031843900,123,9.05,5,0,118,18,100,2279.6,18,18,35,23,24,8,110,105,13,10,3,80,38,74,31,6,7,4,6,2,1,45,6,67,45,6,54,0,0,13,23,95,21,84,2,11
2013,17031843900,119,8.49,1,2,116,16,100,2787.5,16,6,40,32,22,10,106,103,13,12,1,72,44,59,44,13,0,12,0,1,0,39,10,67,37,10,56,2,0,11,15,101,15,88,0,13
2014,17031843900,107,7.41,3,0,104,18,86,2514.99,18,5,38,21,22,10,94,90,14,13,1,64,40,59,31,5,9,5,8,0,1,36,7,61,36,6,48,0,1,13,13,91,13,77,0,14
2015,17031843900,118,7.94,15,1,102,12,90,2816.54,12,13,29,25,23,8,94,84,18,18,0,51,51,41,43,10,8,10,8,0,0,22,20,60,20,20,44,2,0,16,11,91,10,74,1,17
2016,17031843900,113,7.39,11,1,101,3,98,2226.87,3,5,51,28,14,6,95,90,11,11,0,58,43,51,39,7,4,7,4,0,0,39,23,39,37,22,31,2,1,8,13,88,12,78,1,10
2017,17031843900,129,8.21,7,0,122,15,107,1787.85,14,12,59,20,17,4,118,107,15,14,1,59,63,53,54,6,9,6,8,0,1,33,25,64,32,25,50,1,0,14,16,106,16,91,0,15
2018,17031843900,117,7.25,9,1,107,7,100,2405.55,8,5,47,22,25,8,99,94,13,11,2,54,53,49,45,5,8,4,7,1,1,29,27,51,28,26,40,1,1,11,19,88,18,76,1,12
2019,17031843900,128,7.73,11,4,113,19,94,2237.82,19,9,43,23,19,3,110,100,13,12,1,65,48,59,41,6,7,6,6,0,1,18,21,74,17,21,62,1,0,12,22,91,18,82,4,9
2010,17031843800,35,8.82,4,1,30,7,23,2025.0,7,7,6,7,3,13,17,27,3,3,0,20,10,18,9,2,1,2,1,0,0,10,2,18,10,2,15,0,0,3,5,25,5,22,0,3
2011,17031843800,24,6.1,1,0,23,11,12,3070.0,12,0,4,7,0,12,11,21,2,2,0,15,8,13,8,2,0,2,0,0,0,10,4,9,9,4,8,1,0,1,3,20,3,18,0,2
2012,17031843800,23,5.9,4,1,18,3,15,2660.0,3,2,5,6,2,9,9,15,3,3,0,10,8,8,7,2,1,2,1,0,0,8,0,10,7,0,8,1,0,2,3,15,3,12,0,3
2013,17031843800,22,5.7,1,0,21,5,16,1870.0,5,2,10,3,1,8,13,19,2,1,1,14,7,14,5,0,2,0,1,0,1,7,0,14,7,0,12,0,0,2,2,19,2,17,0,2
2014,17031843800,32,8.37,7,2,23,4,19,3050.0,4,3,5,5,6,10,13,20,3,3,0,13,10,13,7,0,3,0,3,0,0,6,1,16,6,1,13,0,0,3,1,22,1,19,0,3
2015,17031843800,29,7.65,9,0,20,4,16,3170.0,4,1,6,5,4,8,12,16,4,4,0,13,7,12,4,1,3,1,3,0,0,9,2,9,9,2,5,0,0,4,3,17,3,13,0,4
2016,17031843800,21,5.6,2,0,19,6,13,2435.0,5,2,6,4,2,11,8,18,1,1,0,8,11,8,10,0,1,0,1,0,0,3,5,11,3,5,10,0,0,1,3,16,3,15,0,1
2017,17031843800,20,5.38,2,0,18,3,15,2435.0,3,2,6,5,2,3,15,15,3,3,0,12,6,10,5,2,1,2,1,0,0,4,2,12,4,2,9,0,0,3,3,15,3,12,0,3
2018,17031843800,15,4.08,3,0,12,3,9,2580.0,3,0,4,3,2,4,8,10,2,2,0,9,3,8,2,1,1,1,1,0,0,3,1,8,3,1,6,0,0,2,1,11,1,9,0,2
2019,17031843800,12,3.29,2,0,10,1,9,3900.0,1,0,3,3,3,4,6,8,2,2,0,6,4,4,4,2,0,2,0,0,0,1,3,6,1,3,4,0,0,2,1,9,1,7,0,2
2010,17031843700,5,1.29,0,0,5,1,4,3218.22,1,0,1,3,0,0,5,4,1,1,0,3,2,2,2,1,0,1,0,0,0,0,1,4,0,1,3,0,0,1,0,5,0,4,0,1
2011,17031843700,8,2.08,0,0,8,1,7,2872.25,1,1,2,4,0,1,7,7,1,1,0,6,2,5,2,1,0,1,0,0,0,2,1,5,2,1,4,0,0,1,1,7,1,6,0,1
2012,17031843700,3,0.79,0,0,3,0,3,1650.0,0,0,3,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,2,1,2,0,0
2013,17031843700,1,0.27,0,0,1,0,1,8732.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
2014,17031843700,3,0.81,0,0,3,0,3,8245.0,0,0,1,0,2,1,2,2,1,1,0,3,0,2,0,1,0,1,0,0,0,0,0,3,0,0,2,0,0,1,2,1,2,0,0,1
2015,17031843700,5,1.37,1,0,4,0,4,5150.0,0,0,1,1,2,1,3,4,0,0,0,1,3,1,3,0,0,0,0,0,0,1,3,0,1,3,0,0,0,0,0,4,0,4,0,0
