,FIRE_NUMBER,FIRE_YEAR,RESPONSE_TYPE_DESC,IGNITION_DATE,FIRE_OUT_DATE,FIRE_CAUSE,FIRE_LABEL,FIRE_CENTRE,ZONE,FIRE_ID,FIRE_TYPE,INCIDENT_NAME,GEOGRAPHIC_DESCRIPTION,LATITUDE,LONGITUDE,CURRENT_SIZE,FEATURE_CODE,OBJECTID,SE_ANNO_CAD_DATA,fme_feature_type,geometry
0,N30058,1985,,19850804140000,19850806170500,Lightning,1985-N30058,6.0,3.0,6030058,Fire,,,55.753,-117.717,0.1,JA70003000,4985065,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-117.7170000007 55.7529999996)
1,R40007,1988,,19880508080000,19880509223000,Person,1988-R40007,3.0,4.0,3040007,Fire,,,55.955,-117.666,1.0,JA70003000,4993798,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-117.6659999999 55.9549999999)
2,N70017,1994,,19940723,19940827235900,Lightning,1994-N70017,6.0,7.0,6070017,Fire,,,56.1,-117.133,60.0,JA70003000,5013068,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-117.133 56.0999999999)
3,G70299,1995,,19951001180000,19951011160000,Person,1995-G70299,4.0,7.0,4070299,Fire,,,56.083,-120.817,0.0,JA70003000,5014394,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.8170000001 56.0829999998)
4,G70031,1972,,19720518,19720518000600,Unknown,1972-G70031,4.0,7.0,4070031,Fire,,,56.14,-120.781,40.4,JA70003000,4953791,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7809999999 56.1400000002)
5,G70032,1988,,19881008080000,19881009095900,Person,1988-G70032,4.0,7.0,4070032,Fire,,,56.089,-120.777,170.0,JA70003000,4994941,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7770000001 56.0889999996)
6,G70023,1986,,19860829080000,19860829173500,Person,1986-G70023,4.0,7.0,4070023,Fire,,,56.126,-120.754,0.1,JA70003000,4987854,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7540000004 56.1259999999)
7,G70277,1995,,19950910160000,19950910185700,Unknown,1995-G70277,4.0,7.0,4070277,Fire,,,56.125,-120.75,0.0,JA70003000,5014363,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7500000004 56.1249999997)
8,G70364,1999,,19991101150000,19991105140000,Person,1999-G70364,4.0,7.0,4070364,Fire,,,56.1167,-120.75,0.1,JA70003000,5020738,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7500000001 56.1166667001)
9,G70050,1980,,19800517160000,19800518160600,Person,1980-G70050,4.0,7.0,4070050,Fire,,,56.083,-120.743,1.0,JA70003000,4973385,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7429999996 56.0830000002)
10,G70002,1978,,19780602170000,19780603213000,Person,1978-G70002,4.0,7.0,4070002,Fire,,,56.126,-120.73,0.1,JA70003000,4967815,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7299999998 56.1259999996)
11,G70061,1990,,19900922100000,19900923195900,Person,1990-G70061,4.0,7.0,4070061,Fire,,,56.125,-120.729,0.2,JA70003000,4999368,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7290000002 56.125)
12,G70044,1991,,19910727130000,19910728230000,Unknown,1991-G70044,4.0,7.0,4070044,Fire,,,56.125,-120.713,0.5,JA70003000,5002170,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7130000003 56.1249999999)
13,G70037,1989,,19890701120000,19890702204000,Lightning,1989-G70037,4.0,7.0,4070037,Fire,,,56.125,-120.713,0.0,JA70003000,4995844,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7130000003 56.1249999999)
14,G70046,1991,,19910801120000,,Unknown,1991-G70046,4.0,7.0,4070046,Fire,,,56.125,-120.713,0.2,JA70003000,5002213,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7130000003 56.1249999999)
15,G70014,1986,,19860804120000,19860806215900,Person,1986-G70014,4.0,7.0,4070014,Fire,,,56.133,-120.703,0.1,JA70003000,4988262,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7030000001 56.1329999996)
16,G70029,1981,,19810731180000,19810806160600,Lightning,1981-G70029,4.0,7.0,4070029,Fire,,,56.104,-120.703,0.1,JA70003000,4975573,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.703 56.1039999996)
17,G70028,1981,,19810726080000,19810726101200,Unknown,1981-G70028,4.0,7.0,4070028,Fire,,,56.083,-120.703,2.0,JA70003000,4975574,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.7029999997 56.0830000002)
18,G70363,1975,,19750921160000,19750927193500,Person,1975-G70363,4.0,7.0,4070363,Fire,,,56.126,-120.69,0.1,JA70003000,4962497,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6899999994 56.126)
19,G70034,1981,,19810809200500,19810809230500,Person,1981-G70034,4.0,7.0,4070034,Fire,,,56.075,-120.663,0.1,JA70003000,4975707,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6629999995 56.0749999997)
20,G70027,1989,,19890506010000,19890506030000,Person,1989-G70027,4.0,7.0,4070027,Fire,,,56.116,-120.649,1.2,JA70003000,4995890,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6490000002 56.1159999997)
21,G70055,1999,,19990524120000,19990525190000,Person,1999-G70055,4.0,7.0,4070055,Fire,,,56.1225,-120.6426,5.0,JA70003000,5021168,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6425666999 56.1224666998)
22,G70078,1976,,19760516093000,19760516111800,Person,1976-G70078,4.0,7.0,4070078,Fire,,,56.046,-120.65,73.0,JA70003000,4964089,,WHSE_LAND_AND_NATURAL_RESOURCE.PROT_HISTORICAL_INCIDENTS_SP,POINT (-120.6500000003 56.0459999999)
